date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:20	28749/28749	---M--	200	added ('OK')	image/png	etag:%225e92c48e-704d%22	https://technext.github.io/jobfinderportal/assets/img/testmonial/testimonial-founder.png	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/img/testmonial/testimonial-founder.png	(from https://technext.github.io/jobfinderportal/index.html)
14:59:20	177267/177267	---M--	200	added ('OK')	image/jpeg	etag:%225e92c48e-2b473%22	https://technext.github.io/jobfinderportal/assets/img/service/support-img.jpg	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/img/service/support-img.jpg	(from https://technext.github.io/jobfinderportal/index.html)
14:59:20	138295/138295	---M--	200	added ('OK')	image/jpeg	etag:%225e92c48e-21c37%22	https://technext.github.io/jobfinderportal/assets/img/blog/home-blog1.jpg	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/img/blog/home-blog1.jpg	(from https://technext.github.io/jobfinderportal/index.html)
14:59:20	124433/124433	---M--	200	added ('OK')	image/jpeg	etag:%225e92c48e-1e611%22	https://technext.github.io/jobfinderportal/assets/img/blog/home-blog2.jpg	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/img/blog/home-blog2.jpg	(from https://technext.github.io/jobfinderportal/index.html)
14:59:21	1197/1197	---M--	200	added ('OK')	image/png	etag:%225e92c48e-4ad%22	https://technext.github.io/jobfinderportal/assets/img/icon/form.png	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/img/icon/form.png	(from https://technext.github.io/jobfinderportal/index.html)
14:59:21	3468/3468	---M--	200	added ('OK')	image/png	etag:%225e92c48e-d8c%22	https://technext.github.io/jobfinderportal/assets/img/logo/logo2_footer.png	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/img/logo/logo2_footer.png	(from https://technext.github.io/jobfinderportal/index.html)
14:59:21	8636/8636	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e92c48e-21bc%22	https://technext.github.io/jobfinderportal/assets/js/vendor/modernizr-3.5.0.min.js	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/js/vendor/modernizr-3.5.0.min.js	(from https://technext.github.io/jobfinderportal/index.html)
14:59:21	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e92c48e-17b8b%22	https://technext.github.io/jobfinderportal/assets/js/vendor/jquery-1.12.4.min.js	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/js/vendor/jquery-1.12.4.min.js	(from https://technext.github.io/jobfinderportal/index.html)
14:59:21	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e92c48e-4af4%22	https://technext.github.io/jobfinderportal/assets/js/popper.min.js	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/js/popper.min.js	(from https://technext.github.io/jobfinderportal/index.html)
14:59:22	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e92c48e-bf30%22	https://technext.github.io/jobfinderportal/assets/js/bootstrap.min.js	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/js/bootstrap.min.js	(from https://technext.github.io/jobfinderportal/index.html)
